No accelerated colorspace conversion found from yuv420p to bgr24.
time base :  1/90000
Image 2024-03-07_14-46-21-153000.png saved in 0.13s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-21-219733.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-21-286467.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-21-353200.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-21-419933.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-21-486667.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-21-553400.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-21-620133.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-21-686867.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-21-753600.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-21-820333.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-21-887067.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-21-953800.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-22-020533.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-22-087267.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-22-154000.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-22-220733.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-22-287467.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-22-354200.png saved in 0.23s (Img: 0.22s, Coords: 0.00s)
Image 2024-03-07_14-46-22-420933.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-22-487667.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-22-554400.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-22-621133.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-22-687867.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-22-754600.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-22-821333.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-22-888067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-22-954800.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-23-021533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-088267.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-23-155000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-221733.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-23-288467.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-355200.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-421933.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-488667.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-555400.png saved in 0.17s (Img: 0.17s, Coords: 0.00s)
Image 2024-03-07_14-46-23-622133.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-23-688867.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
